name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Albufeira,2015-09-04,23.1,16.1,19.6,23.1,16.1,19.6,12.4,63.8,0,0,0,,0,0,39.6,36.6,288.8,1016.5,71.4,11.6,243.3,20.9,9,,2015-09-04T07:05:45,2015-09-04T19:57:57,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-05,21.2,16.1,19,21.2,16.1,19,12.8,67.6,0,0,0,,0,0,21.6,11.9,268.8,1017.4,61.3,11.6,155.6,13.4,5,,2015-09-05T07:06:33,2015-09-05T19:56:28,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-06,23.2,15.9,20,23.2,15.9,20,13,64.6,0,0,0,,0,0,21.6,22,274,1018.6,15.1,11.5,271.7,23.4,8,,2015-09-06T07:07:22,2015-09-06T19:54:59,0.76,Clear,Clear conditions throughout the day.,clear-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-07,24,18.9,21.2,24,18.9,21.2,14.6,66.5,0,0,0,,0,0,21.6,18.2,193.2,1018.6,25.3,11.4,280.6,24.3,9,,2015-09-07T07:08:11,2015-09-07T19:53:30,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-08,23.2,17.8,20.3,23.2,17.8,20.3,16.6,79.8,0,0,0,,0,0,21.6,19.9,217.8,1017.4,42,10.1,227.7,19.6,7,,2015-09-08T07:09:00,2015-09-08T19:52:00,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-09,24.4,18.3,22,24.4,18.3,22,13.9,61.1,0,0,0,,0,0,21.6,13.7,250.4,1016.3,31.1,11.5,274.5,23.8,9,,2015-09-09T07:09:48,2015-09-09T19:50:30,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-10,25.1,17.4,21.7,25.1,17.4,21.7,13.7,61.4,0,0,0,,0,0,32.4,28.2,269.5,1015.3,27.6,11.6,277.1,24,9,,2015-09-10T07:10:37,2015-09-10T19:49:00,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-09-11,23.1,17.9,20.9,23.1,17.9,20.9,13.1,61.1,0,0,0,,0,0,21.6,17.3,256,1014,40.8,11.2,257.5,22.1,8,,2015-09-11T07:11:26,2015-09-11T19:47:30,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-09-12,23.8,18.9,21.5,23.8,18.9,21.5,13.6,60.8,0,0,0,,0,0,50.4,34.7,278.8,1014.8,44.7,11.4,268.9,23.2,9,,2015-09-12T07:12:15,2015-09-12T19:45:59,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR"
Albufeira,2015-09-13,21.5,14.9,18.8,21.5,14.9,18.8,14.7,77.7,0,0,0,,0,0,43.2,32,253,1016.8,58.3,11.5,252.8,21.8,8,,2015-09-13T07:13:03,2015-09-13T19:44:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-14,23,18.1,20.6,23,18.1,20.6,15.7,75,0,0,0,,0,0,32.4,25.6,263.7,1017.2,50,11.6,233.8,20.3,8,,2015-09-14T07:13:52,2015-09-14T19:42:56,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-15,22,14.9,18.8,22,14.9,18.8,13.4,71.2,0,0,0,,0,0,32.4,23.7,239,1015,44.8,11.6,238,20.5,8,,2015-09-15T07:14:41,2015-09-15T19:41:25,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08554099999,LPFR,08533099999"
Albufeira,2015-09-16,22,17.2,19.8,22,17.2,19.8,17.8,88.2,0.4,100,8.33,rain,0,0,54,31.2,229.3,1010.1,84.8,9.9,175.9,15.1,7,,2015-09-16T07:15:30,2015-09-16T19:39:53,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"08554099999,LPFR,08533099999"
Albufeira,2015-09-17,21.9,13.5,18.5,21.9,13.5,18.5,13.2,72.8,0.084,100,4.17,rain,0,0,36,30.9,284.9,1015.6,21.4,11.2,270.8,23.4,9,,2015-09-17T07:16:19,2015-09-17T19:38:22,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08554099999,LPFR,08533099999"
